2026-05-01 10:54:06,425 | INFO | solar_load_calculator | Processed file Copy of WhatsApp Image 2026-02-12 at 13.48.47 (1).jpeg with method image_ocr
2026-05-01 10:54:06,425 | INFO | solar_load_calculator | Processed file Copy of WhatsApp Image 2026-02-12 at 13.48.47 (1).jpeg with method image_ocr
2026-05-01 11:02:37,226 | INFO | solar_load_calculator | Processed file pasted_bill_text.txt with method pasted_text
2026-05-01 11:02:37,226 | INFO | solar_load_calculator | Processed file pasted_bill_text.txt with method pasted_text
2026-05-01 11:04:04,070 | INFO | solar_load_calculator | Extracting text from image: 20260501_102815_339431_Copy_of_WhatsApp_Image_2026-02-12_at_13.48.47_(1).jpeg
2026-05-01 11:04:06,035 | INFO | solar_load_calculator | Using EasyOCR engine
2026-05-01 11:06:44,406 | INFO | solar_load_calculator | Extracting text from image: 20260501_110644_402705_Copy_of_WhatsApp_Image_2026-02-12_at_13.48.47_(1).jpeg
2026-05-01 11:06:44,406 | INFO | solar_load_calculator | Extracting text from image: 20260501_110644_402705_Copy_of_WhatsApp_Image_2026-02-12_at_13.48.47_(1).jpeg
2026-05-01 11:06:47,995 | INFO | solar_load_calculator | Using EasyOCR engine
2026-05-01 11:06:47,995 | INFO | solar_load_calculator | Using EasyOCR engine
2026-05-01 11:07:00,006 | INFO | solar_load_calculator | Processed file Copy of WhatsApp Image 2026-02-12 at 13.48.47 (1).jpeg with method image_ocr
2026-05-01 11:07:00,006 | INFO | solar_load_calculator | Processed file Copy of WhatsApp Image 2026-02-12 at 13.48.47 (1).jpeg with method image_ocr
2026-05-01 11:07:31,993 | INFO | solar_load_calculator | Extracting text from image: 20260501_102815_339431_Copy_of_WhatsApp_Image_2026-02-12_at_13.48.47_(1).jpeg
2026-05-01 11:07:34,076 | INFO | solar_load_calculator | Using EasyOCR engine
2026-05-01 11:09:19,848 | INFO | solar_load_calculator | Extracting text from image: 20260501_102815_339431_Copy_of_WhatsApp_Image_2026-02-12_at_13.48.47_(1).jpeg
2026-05-01 11:09:32,358 | INFO | solar_load_calculator | Using EasyOCR engine
2026-05-01 11:11:51,947 | INFO | solar_load_calculator | Extracting text from image: 20260501_102815_339431_Copy_of_WhatsApp_Image_2026-02-12_at_13.48.47_(1).jpeg
2026-05-01 11:11:53,848 | INFO | solar_load_calculator | Using EasyOCR engine
